,id,location,morphology,x,y,sph,disk,irr,ps
94,95,"[659, 520]","[0.008372480285577058, 0.9916019961768453, 2.552353757761927e-05, 0.0]",659,520,0.008372480285577058,0.9916019961768453,2.552353757761927e-05,0.0
95,96,"[659, 991]","[0.0, 0.0, 0.0, 1.0]",659,991,0.0,0.0,0.0,1.0
96,97,"[679, 372]","[0.0809300113432523, 0.017988403030533482, 0.052879830252376456, 0.8482017553738378]",679,372,0.0809300113432523,0.017988403030533482,0.052879830252376456,0.8482017553738378
97,98,"[691, 166]","[0.9827885241870931, 0.015251237054491752, 0.0015748388317762686, 0.00038539992663893694]",691,166,0.9827885241870931,0.015251237054491752,0.0015748388317762686,0.00038539992663893694
98,99,"[697, 140]","[0.012588470459318449, 0.979036928020614, 0.006252782717408749, 0.00212181880265872]",697,140,0.012588470459318449,0.979036928020614,0.006252782717408749,0.00212181880265872
99,100,"[705, 278]","[0.003722477214311078, 0.004376972705617974, 0.02393423970294448, 0.9679663103771264]",705,278,0.003722477214311078,0.004376972705617974,0.02393423970294448,0.9679663103771264
100,101,"[715, 737]","[0.014566172446994515, 0.36317766096312204, 0.18256568850938557, 0.4396904780804979]",715,737,0.014566172446994515,0.36317766096312204,0.18256568850938557,0.4396904780804979
101,102,"[725, 22]","[0.008571812915914506, 7.742429483491361e-05, 0.0, 0.9913507627892506]",725,22,0.008571812915914506,7.742429483491361e-05,0.0,0.9913507627892506
102,103,"[725, 972]","[0.04941616993538647, -0.00010537397548958772, 0.0003540937763572103, 0.950335110263746]",725,972,0.04941616993538647,-0.00010537397548958772,0.0003540937763572103,0.950335110263746
103,104,"[744, 605]","[0.011800488179468535, 3.026213427070466e-06, 0.0, 0.9881964856071044]",744,605,0.011800488179468535,3.026213427070466e-06,0.0,0.9881964856071044
104,105,"[750, 923]","[0.005859162714264161, 0.0003611404416221103, -7.5314769117054095e-06, 0.9937872283210254]",750,923,0.005859162714264161,0.0003611404416221103,-7.5314769117054095e-06,0.9937872283210254
105,106,"[755, 400]","[0.0030228968983534972, 0.22976869461892135, 0.5563291678268323, 0.2108792406558929]",755,400,0.0030228968983534972,0.22976869461892135,0.5563291678268323,0.2108792406558929
106,107,"[766, 15]","[0.647621299430561, 0.3438465553781465, 0.004358936776927646, 0.004173208414364774]",766,15,0.647621299430561,0.3438465553781465,0.004358936776927646,0.004173208414364774
107,108,"[779, 217]","[8.255279694537217e-05, 4.622110408951207e-06, 0.002564584272132422, 0.9973482408205132]",779,217,8.255279694537217e-05,4.622110408951207e-06,0.002564584272132422,0.9973482408205132
108,109,"[788, 5]","[0.0, 0.0, 0.3057980844571895, 0.6942019155428105]",788,5,0.0,0.0,0.3057980844571895,0.6942019155428105
109,110,"[797, 627]","[0.0263939056661299, 0.9679715756850986, 0.004667048000965647, 0.0009674706478058504]",797,627,0.0263939056661299,0.9679715756850986,0.004667048000965647,0.0009674706478058504
110,111,"[805, 472]","[0.012318745441613172, 0.0008089494052244261, 0.0008319225368147357, 0.9860403826163476]",805,472,0.012318745441613172,0.0008089494052244261,0.0008319225368147357,0.9860403826163476
111,112,"[808, 745]","[0.002591740829283749, 0.00097711263529082, 0.0004899909260591932, 0.9959411556093662]",808,745,0.002591740829283749,0.00097711263529082,0.0004899909260591932,0.9959411556093662
112,113,"[838, 867]","[0.05775089794465338, 8.424185661366522e-05, 0.0009600786121757362, 0.9412047815865572]",838,867,0.05775089794465338,8.424185661366522e-05,0.0009600786121757362,0.9412047815865572
113,114,"[848, 752]","[0.0001471833483629972, 0.7885063692795155, 0.20580229568346556, 0.005544151688656002]",848,752,0.0001471833483629972,0.7885063692795155,0.20580229568346556,0.005544151688656002
114,115,"[845, 473]","[0.17087357792813795, 0.0, 0.0, 0.829126422071862]",845,473,0.17087357792813795,0.0,0.0,0.829126422071862
115,116,"[873, 82]","[0.3234877811443229, 0.0, 0.0, 0.676512218855677]",873,82,0.3234877811443229,0.0,0.0,0.676512218855677
116,117,"[878, 705]","[0.015043884087607361, -1.2193493986923104e-05, 0.00016388333102470388, 0.9848044260753549]",878,705,0.015043884087607361,-1.2193493986923104e-05,0.00016388333102470388,0.9848044260753549
117,118,"[890, 403]","[0.0006615789340058807, 7.597476536857651e-05, 0.0, 0.9992624463006256]",890,403,0.0006615789340058807,7.597476536857651e-05,0.0,0.9992624463006256
